Game;time;subject;group;grsubject;type;gain;penalty;x;s1;s2;s3;s4;s5;AcceptAdvice;CalcCount;CalcAdviceCount
36;50;1;1;1;9;7,631145748;0,05;50;90;0;25;;;0;1;1
36;50;2;1;2;25;6,991079783;-1,075;10;60;15;40;;;0;0;0
36;50;3;1;3;1;6,458314774;1,025;55;0;15;100;;;0;1;0
36;51;1;1;1;9;7,632988906;-0,061111111;48,33333333;85;0;30;;;0;1;1
36;51;2;1;2;25;6,835524228;-0,919444444;10;60;15;40;;;0;0;0
36;51;3;1;3;1;6,613301611;0,980555556;56,66666667;0;15;100;;;0;1;0
36;52;1;1;1;9;7,631145748;0,05;50;90;0;25;;;0;1;2
36;52;2;1;2;25;6,991079783;-1,075;10;60;15;40;;;0;0;0
36;52;3;1;3;1;6,458314774;1,025;55;0;15;100;;;0;1;0
36;53;1;1;1;9;7,667256859;0,013888889;50;90;0;25;;;0;0;1
36;53;2;1;2;25;6,884613803;-1,111111111;8,333333333;60;15;40;;;0;0;0
36;53;3;1;3;1;6,496634944;1,097222222;56,66666667;0;10;105;;;0;1;0
36;54;1;1;1;9;7,284620873;0,176388889;46,66666667;90;0;25;;;0;0;1
36;54;2;1;2;25;7,035524228;-1,119444444;10;50;20;40;;;0;1;0
36;54;3;1;3;1;6,650801611;0,943055556;56,66666667;0;10;105;;;0;1;0
36;55;1;1;1;9;7,326044461;0,245833333;48,33333333;90;5;20;;;0;3;2
36;55;2;1;2;25;7,130300708;-1,075;11,66666667;50;20;40;;;0;0;0
36;55;3;1;3;1;6,541948129;0,829166667;53,33333333;5;10;100;;;0;1;0
36;56;1;1;1;9;7,36493335;0,206944444;48,33333333;90;0;25;;;0;3;1
36;56;2;1;2;25;6,913302005;-0,997222222;10;50;20;40;;;0;0;0
36;56;3;1;3;1;6,693036996;0,790277778;55;5;10;100;;;0;0;0
36;57;1;1;1;9;7,31728754;0,143722222;46,66666667;90;0;25;;;0;4;0
36;57;2;1;2;25;7,0729354;-1,100777778;10,66666667;50;22;38;;;0;1;0
36;57;3;1;3;1;6,59277888;0,957055556;56;0;10;105;;;0;4;0
36;58;1;1;1;9;8,150786734;0,115611111;59,33333333;80;0;35;;;0;5;1
36;58;2;1;2;25;6,073888889;-0,073888889;11;50;22;38;;;0;0;0
36;58;3;1;3;1;6,674971803;-0,041722222;43;48;11;56;;;0;1;0
36;59;1;1;1;9;8,481346809;-0,075;61,66666667;80;0;35;;;0;1;0
36;59;2;1;2;25;5,852314339;-0,225;6,666666667;70;10;35;;;0;2;0
36;59;3;1;3;1;6,604105059;0,3;46,66666667;35;10;70;;;0;1;0
36;60;1;1;1;9;7,057711644;-0,3;36,66666667;80;0;35;;;0;0;0
36;60;2;1;2;25;6,77781266;1,075;36,66666667;5;100;10;;;0;1;0
36;60;3;1;3;1;7,306972647;-0,775;41,66666667;25;10;80;;;0;1;0
36;61;1;1;1;9;6,820211644;-0,0625;36,66666667;70;27,5;17,5;;;1;1;6
36;61;2;1;2;25;8,24131521;0,65625;54,16666667;5;100;10;;;0;0;0
36;61;3;1;3;1;5,610388981;-0,59375;24,16666667;35;35;45;;;0;1;0
36;62;1;1;1;9;6,737878704;-0,627777778;28,33333333;80;35;0;;;0;2;6
36;62;2;1;2;25;8,96104471;-0,594444444;45;5;100;10;;;0;0;0
36;62;3;1;3;1;5,309750425;1,222222222;41,66666667;0;0;115;;;0;1;0
36;63;1;1;1;9;6,725725927;-0,615625;28,33333333;70;16,25;28,75;;;1;0;4
36;63;2;1;2;25;7,585754084;0,6046875;42,08333333;5;100;10;;;0;0;0
36;63;3;1;3;1;6,740605534;0,0109375;44,58333333;10;10;95;;;0;1;0
36;64;1;1;1;9;6,784532099;-0,278125;33,33333333;85;16,25;13,75;;;1;0;8
36;64;2;1;2;25;7,954504084;0,2359375;42,08333333;5;100;10;;;0;5;1
36;64;3;1;3;1;6,328317451;0,0421875;39,58333333;10;10;95;;;0;1;0
36;65;1;1;1;9;7,344457313;0,094180556;46,33333333;85;16,25;13,75;;;1;0;5
36;65;2;1;2;25;7,74540411;-0,908006944;21,75;45;40;30;;;0;1;0
36;65;3;1;3;1;6,108360164;0,813826389;46,91666667;9;9;97;;;0;1;0
36;66;1;1;1;9;7,446550884;0,169222222;49;90;0;25;;;0;4;6
36;66;2;1;2;25;7,168851543;-0,662444444;17,33333333;45;40;30;;;0;0;0
36;66;3;1;3;1;6,554235948;0,493222222;48,66666667;12;12;91;;;0;1;0
36;67;1;1;1;9;7,449591117;0,253222222;50,33333333;93;0;22;;;0;3;4
36;67;2;1;2;25;7,249417092;-0,717444444;17,66666667;45;40;30;;;0;0;0
36;67;3;1;3;1;6,463981008;0,464222222;47;13;13;89;;;0;1;0
36;68;1;1;1;9;8,061266932;0,305333333;61;93;2;20;;;0;3;2
36;68;2;1;2;25;6,655916247;-0,022666667;19;40;40;35;;;0;1;0
36;68;3;1;3;1;6,282666667;-0,282666667;35;50;15;50;;;0;1;0
36;69;1;1;1;9;7,664590633;0,230555556;53,33333333;90;0;25;;;0;3;6
36;69;2;1;2;25;7,017411622;-0,186111111;21,66666667;40;50;25;;;0;2;0
36;69;3;1;3;1;6,447568682;-0,044444444;40;30;15;70;;;0;1;0
36;70;1;1;1;9;7,180454206;0,280555556;46,66666667;90;0;25;;;0;1;0
36;70;2;1;2;25;7,290512256;-0,219444444;25;30;60;25;;;0;1;0
36;70;3;1;3;1;6,71943923;-0,061111111;43,33333333;20;15;80;;;0;1;0
36;71;1;1;1;9;7,186009762;0,275;46,66666667;90;5;20;;;1;0;4
36;71;2;1;2;25;7,487952884;-0,3;26,66666667;30;60;25;;;0;0;0
36;71;3;1;3;1;6,506972647;0,025;41,66666667;20;15;80;;;0;1;0
